PLAYER,TEAM,FREQ
Aaron Gordon,ORL,12.10%
Aaron Holiday,IND,32.20%
Abdel Nader,OKC,8.90%
Al-Farouq Aminu,POR,2.20%
Alec Burks,CLE,27.10%
Alec Burks,UTA,29.90%
Alex Abrines,OKC,7.90%
Alex Caruso,LAL,41.60%
Allen Crabbe,BKN,3.20%
Allonzo Trier,NYK,33.60%
Andre Iguodala,GSW,5.00%
Andrew Harrison,CLE,30.90%
Andrew Wiggins,MIN,26.50%
Anthony Davis,NOP,1.40%
Antonio Blakeney,CHI,28.70%
Austin Rivers,HOU,19.30%
Austin Rivers,WAS,32.70%
Avery Bradley,LAC,19.70%
Avery Bradley,MEM,32.00%
Ben Simmons,PHI,12.50%
Billy Garrett,NYK,32.30%
Blake Griffin,DET,18.70%
Bogdan Bogdanovic,SAC,28.70%
Bojan Bogdanovic,IND,11.80%
Bradley Beal,WAS,25.30%
Brandon Ingram,LAL,25.50%
Brandon Knight,CLE,43.50%
Brandon Sampson,CHI,13.20%
Bruce Brown,DET,15.80%
Bryn Forbes,SAS,26.70%
Buddy Hield,SAC,16.40%
CJ McCollum,POR,28.70%
CJ Miles,TOR,9.10%
Cameron Payne,CHI,31.90%
Cameron Payne,CLE,45.90%
Caris LeVert,BKN,38.00%
Chandler Hutchison,CHI,10.20%
Chandler Parsons,MEM,24.90%
Chasson Randle,WAS,24.00%
Chris Paul,HOU,36.40%
Collin Sexton,CLE,39.70%
Cory Joseph,IND,34.50%
Courtney Lee,DAL,18.90%
Courtney Lee,NYK,21.10%
D'Angelo Russell,BKN,49.90%
D.J. Augustin,ORL,47.60%
Damian Lillard,POR,44.70%
Damion Lee,GSW,8.20%
Damyean Dotson,NYK,16.20%
Daniel Hamilton,ATL,18.10%
Danilo Gallinari,LAC,11.80%
Danny Green,TOR,4.80%
Dante Exum,UTA,38.40%
Danuel House Jr.,HOU,4.10%
Darius Miller,NOP,13.30%
Darren Collison,IND,35.90%
Daryl Macon,DAL,38.90%
David Nwaba,CLE,3.90%
Davis Bertans,SAS,1.90%
De'Aaron Fox,SAC,40.60%
De'Anthony Melton,PHX,32.10%
DeAndre' Bembry,ATL,20.50%
DeMar DeRozan,SAS,36.50%
DeMarre Carroll,BKN,5.00%
Delon Wright,TOR,34.80%
Delon Wright,MEM,34.10%
Dennis Schroder,OKC,42.70%
Dennis Smith Jr.,NYK,43.10%
Dennis Smith Jr.,DAL,33.30%
Derrick Rose,MIN,43.20%
Derrick White,SAS,34.70%
Devin Booker,PHX,34.50%
Devin Harris,DAL,19.20%
Devonte' Graham,CHA,29.70%
Dillon Brooks,MEM,18.70%
Dion Waiters,MIA,20.10%
Donovan Mitchell,UTA,44.50%
Donte DiVincenzo,MIL,8.10%
Dorian Finney-Smith,DAL,6.50%
Draymond Green,GSW,2.70%
Dwayne Bacon,CHA,16.60%
Dwyane Wade,MIA,34.80%
E'Twaun Moore,NOP,12.80%
Elfrid Payton,NOP,29.70%
Elie Okobo,PHX,39.70%
Emmanuel Mudiay,NYK,34.10%
Eric Bledsoe,MIL,25.90%
Eric Gordon,HOU,17.10%
Evan Fournier,ORL,30.10%
Evan Turner,POR,19.50%
Frank Jackson,NOP,15.20%
Frank Mason,SAC,37.70%
Frank Ntilikina,NYK,33.80%
Fred VanVleet,TOR,34.80%
Furkan Korkmaz,PHI,6.60%
Garrett Temple,MEM,10.90%
Garrett Temple,LAC,11.90%
Gary Harris,DEN,16.10%
George Hill,MIL,22.60%
George Hill,CLE,42.10%
Gerald Green,HOU,6.80%
Giannis Antetokounmpo,MIL,7.60%
Glenn Robinson III,DET,4.70%
Goran Dragic,MIA,33.60%
Gordon Hayward,BOS,26.50%
Grayson Allen,UTA,28.20%
Hamidou Diallo,OKC,7.20%
Harrison Barnes,DAL,10.90%
Harrison Barnes,SAC,8.80%
Ian Clark,NOP,19.60%
Iman Shumpert,SAC,13.60%
Isaiah Briscoe,ORL,40.90%
Isaiah Canaan,PHX,28.20%
Isaiah Canaan,MIN,28.60%
Isaiah Thomas,DEN,34.10%
Ish Smith,DET,48.50%
J.J. Barea,DAL,54.20%
JJ Redick,PHI,10.00%
JR Smith,CLE,18.90%
Jabari Parker,CHI,7.60%
Jabari Parker,WAS,8.00%
Jae Crowder,UTA,3.90%
Jake Layman,POR,5.20%
Jalen Brunson,DAL,28.00%
Jamal Crawford,PHX,49.50%
Jamal Murray,DEN,30.60%
James Harden,HOU,22.10%
James Johnson,MIA,14.60%
Jaylen Adams,ATL,31.40%
Jaylen Brown,BOS,5.90%
Jayson Tatum,BOS,15.00%
Jeff Green,WAS,2.60%
Jeff Teague,MIN,44.80%
Jeremy Lamb,CHA,24.40%
Jeremy Lin,ATL,42.20%
Jeremy Lin,TOR,30.20%
Jerian Grant,ORL,32.90%
Jerryd Bayless,MIN,41.20%
Jevon Carter,MEM,31.30%
Jimmer Fredette,PHX,40.50%
Jimmy Butler,PHI,25.20%
Jimmy Butler,MIN,35.70%
Joe Harris,BKN,3.20%
Joe Ingles,UTA,31.30%
Joel Embiid,PHI,3.00%
John Jenkins,NYK,16.90%
John Wall,WAS,32.60%
Jonathan Isaac,ORL,3.60%
Jonathon Simmons,ORL,35.10%
Jonathon Simmons,PHI,27.90%
Jordan Clarkson,CLE,30.60%
Jordan McRae,WAS,29.60%
Jose Calderon,DET,44.10%
Josh Hart,LAL,5.40%
Josh Jackson,PHX,23.50%
Josh Okogie,MIN,6.70%
Josh Richardson,MIA,31.80%
Jrue Holiday,NOP,35.90%
Julius Randle,NOP,2.80%
Justin Holiday,MEM,7.80%
Justin Holiday,CHI,5.00%
Justin Jackson,SAC,5.60%
Justin Jackson,DAL,7.20%
Justise Winslow,MIA,30.40%
Kadeem Allen,NYK,36.60%
Kawhi Leonard,TOR,26.80%
Keita Bates-Diop,MIN,7.10%
Kelly Olynyk,MIA,2.30%
Kelly Oubre Jr.,PHX,20.10%
Kelly Oubre Jr.,WAS,9.20%
Kemba Walker,CHA,46.80%
Kenrich Williams,NOP,5.60%
Kent Bazemore,ATL,25.50%
Kentavious Caldwell-Pope,LAL,9.30%
Kevin Durant,GSW,19.00%
Kevin Huerter,ATL,23.00%
Kevin Knox II,NYK,19.80%
Khris Middleton,MIL,19.60%
Klay Thompson,GSW,4.00%
Kris Dunn,CHI,52.00%
Kyle Anderson,MEM,11.90%
Kyle Korver,UTA,7.10%
Kyle Kuzma,LAL,9.10%
Kyle Lowry,TOR,24.10%
Kyrie Irving,BOS,29.40%
Lance Stephenson,LAL,28.90%
Landry Shamet,PHI,6.90%
Landry Shamet,LAC,9.90%
Langston Galloway,DET,7.10%
Larry Nance Jr.,CLE,2.50%
Lauri Markkanen,CHI,4.20%
LeBron James,LAL,28.10%
Lonzo Ball,LAL,24.40%
Lou Williams,LAC,54.60%
Luka Doncic,DAL,38.30%
Luke Kennard,DET,24.70%
Malcolm Brogdon,MIL,19.00%
Malik Beasley,DEN,11.90%
Malik Monk,CHA,18.40%
MarShon Brooks,MEM,32.70%
Marco Belinelli,SAS,15.60%
Marcus Morris Sr.,BOS,4.70%
Marcus Smart,BOS,19.50%
Mario Hezonja,NYK,25.20%
Markelle Fultz,PHI,34.00%
Matthew Dellavedova,CLE,40.20%
Maurice Harkless,POR,2.20%
Michael Carter-Williams,ORL,28.60%
Mikal Bridges,PHX,7.30%
Mike Conley,MEM,41.90%
Mike Scott,LAC,5.70%
Miles Bridges,CHA,4.00%
Milos Teodosic,LAC,45.30%
Monte Morris,DEN,35.20%
Montrezl Harrell,LAC,1.70%
Nemanja Bjelica,SAC,2.10%
Nicolas Batum,CHA,22.20%
Nik Stauskas,POR,17.20%
Nik Stauskas,CLE,7.50%
Nikola Jokic,DEN,4.20%
Noah Vonleh,NYK,1.70%
Norman Powell,TOR,24.40%
OG Anunoby,TOR,4.30%
Otto Porter Jr.,CHI,32.60%
Otto Porter Jr.,WAS,12.70%
Pascal Siakam,TOR,5.30%
Pat Connaughton,MIL,4.80%
Patrick Beverley,LAC,28.60%
Patrick McCaw,TOR,13.20%
Patty Mills,SAS,34.00%
Paul George,OKC,24.50%
Paul Millsap,DEN,4.60%
Quinn Cook,GSW,26.70%
Rajon Rondo,LAL,45.30%
Raul Neto,UTA,36.00%
Raymond Felton,OKC,44.50%
Reggie Bullock,DET,10.30%
Reggie Jackson,DET,36.60%
Ricky Rubio,UTA,33.60%
Robert Covington,MIN,9.20%
Rodions Kurucs,BKN,2.70%
Rodney Hood,CLE,24.50%
Rodney Hood,POR,22.80%
Rodney McGruder,MIA,20.10%
Rondae Hollis-Jefferson,BKN,2.50%
Royce O'Neale,UTA,5.10%
Rudy Gay,SAS,12.00%
Russell Westbrook,OKC,24.70%
Ryan Arcidiacono,CHI,36.10%
Seth Curry,POR,25.90%
Shabazz Napier,BKN,39.80%
Shai Gilgeous-Alexander,LAC,41.80%
Shake Milton,PHI,11.60%
Shaquille Harrison,CHI,22.50%
Shaun Livingston,GSW,9.20%
Shelvin Mack,MEM,37.90%
Solomon Hill,NOP,4.90%
Spencer Dinwiddie,BKN,37.40%
Stanley Johnson,DET,7.70%
Stanley Johnson,NOP,19.80%
Stephen Curry,GSW,21.60%
Sterling Brown,MIL,9.80%
Svi Mykhailiuk,LAL,12.50%
T.J. McConnell,PHI,38.90%
T.J. Warren,PHX,16.20%
Taurean Prince,ATL,19.30%
Terrance Ferguson,OKC,3.90%
Terrence Ross,ORL,22.60%
Terry Rozier,BOS,21.80%
Theo Pinson,BKN,26.00%
Tim Frazier,NOP,24.20%
Tim Frazier,MIL,33.30%
Tim Hardaway Jr.,NYK,27.70%
Tim Hardaway Jr.,DAL,15.60%
Timothe Luwawu-Cabarrot,CHI,4.90%
Tobias Harris,LAC,26.60%
Tobias Harris,PHI,18.80%
Tomas Satoransky,WAS,23.70%
Tony Parker,CHA,56.60%
Tony Snell,MIL,5.60%
Torrey Craig,DEN,3.50%
Trae Young,ATL,45.60%
Trevor Ariza,WAS,10.60%
Trevor Ariza,PHX,11.70%
Trey Burke,NYK,49.40%
Trey Burke,DAL,40.30%
Trey Lyles,DEN,3.60%
Troy Brown Jr.,WAS,18.00%
Troy Daniels,PHX,16.10%
Tyler Dorsey,MEM,20.30%
Tyler Johnson,MIA,19.40%
Tyler Johnson,PHX,35.00%
Tyreke Evans,IND,33.50%
Tyrone Wallace,LAC,22.90%
Tyus Jones,MIN,41.90%
Victor Oladipo,IND,37.60%
Vince Carter,ATL,9.80%
Walt Lemon Jr.,CHI,43.60%
Wayne Ellington,DET,9.60%
Wayne Selden,CHI,18.10%
Wayne Selden,MEM,21.70%
Wes Iwundu,ORL,14.50%
Wesley Johnson,NOP,11.70%
Wesley Matthews,DAL,10.70%
Wesley Matthews,IND,10.70%
Will Barton,DEN,28.50%
Yogi Ferrell,SAC,34.20%
Zach LaVine,CHI,40.20%