,Name,Passes Made,Ast,Secondary Ast,Potential Ast,Drives,FGA Drives,Passes Drives,Pass% Drives,Ast Drives,Ast% Drives,Catch/Shoot FGA,Catch/Shoot 3FGA,Pull-up FGA,Pull-up 3FGA,Touches,Front Ct Touches,Time of Poss,Avg Sec/Touch,Avg Drib/Touch,Elbow Touches,Post Ups,Paint Touches,Dist. Feet,Dist. Miles Off,Dist. Miles Def,Avg Speed,Team
210,JR Smith,20.4,1.9,0.3,2.9,1.9,0.6,0.9,47.6,0.2,9.5,2.5,2.5,4.1,1.1,29.5,18.7,1.2,2.4,1.66,0.4,0.2,0.5,7695.4,0.81,0.65,4.02,CLE
211,JaKarr Sampson,40.3,1.0,0.3,1.8,9.3,4.5,2.5,27.0,0.0,0.0,3.5,3.5,2.3,0.0,58.0,30.8,2.0,2.02,1.14,1.8,0.8,2.8,12937.3,1.31,1.14,4.31,CHI
212,JaMychal Green,28.5,0.8,0.1,1.5,0.8,0.4,0.2,24.5,0.1,8.2,3.2,2.4,0.5,0.2,38.1,19.9,1.0,1.59,0.44,1.8,1.7,3.8,8529.1,0.87,0.75,4.27,LAC
213,JaVale McGee,21.4,0.7,0.1,1.3,0.6,0.4,0.0,4.4,0.0,0.0,0.5,0.2,0.4,0.0,32.7,17.5,0.7,1.31,0.34,3.5,1.4,8.0,8571.1,0.84,0.78,4.12,LAL
214,Jabari Parker,42.7,2.4,0.3,4.9,6.5,2.7,2.6,40.1,0.5,7.6,2.5,2.1,3.0,0.9,59.7,27.5,2.3,2.29,1.6,1.1,2.7,2.4,11090.0,1.15,0.95,4.32,WAS
215,Jacob Evans,8.2,0.8,0.2,1.0,0.5,0.3,0.2,33.3,0.1,20.0,0.5,0.5,0.8,0.0,10.6,6.1,0.5,2.84,2.04,0.1,0.0,0.2,2884.5,0.3,0.25,4.51,GSW
216,Jae Crowder,38.5,1.7,0.2,3.0,2.1,1.0,0.6,29.9,0.1,6.6,5.5,5.1,1.7,1.3,51.5,25.9,1.4,1.65,0.86,0.4,0.2,1.3,10612.0,1.1,0.91,4.15,UTA
217,Jahlil Okafor,19.4,0.7,0.1,1.4,1.2,0.8,0.1,9.7,0.0,1.4,0.2,0.1,0.5,0.0,27.6,15.0,1.0,2.16,1.08,2.2,3.3,4.2,6350.4,0.65,0.56,4.3,NOP
218,Jake Layman,14.1,0.7,0.1,1.5,1.5,0.8,0.5,30.0,0.1,7.3,2.2,2.1,0.9,0.4,21.8,14.7,0.6,1.77,0.91,0.6,0.3,2.0,7860.7,0.84,0.65,4.48,POR
219,Jakob Poeltl,20.4,1.2,0.0,2.3,0.2,0.1,0.1,41.2,0.0,11.8,0.2,-,0.1,-,25.4,14.1,0.6,1.43,0.29,2.4,1.1,5.1,6790.4,0.69,0.6,4.48,SAS
220,Jalen Brunson,34.5,3.2,0.5,6.2,7.9,3.2,3.6,45.7,1.0,12.3,1.6,1.5,2.7,0.9,45.8,21.1,3.1,4.1,3.59,1.1,0.2,0.7,9121.7,0.95,0.77,4.45,DAL
221,Jalen Jones,11.1,0.4,0.0,0.8,1.8,0.6,0.4,24.1,0.0,0.0,1.7,1.7,0.3,0.0,16.7,8.6,0.6,2.08,1.17,0.1,0.1,0.9,5529.9,0.55,0.5,4.39,CLE
222,Jamal Crawford,27.4,3.6,0.3,6.4,3.0,1.3,1.2,40.2,0.3,9.5,1.4,1.3,4.7,1.8,37.8,15.4,3.0,4.82,4.55,0.1,0.0,0.1,6937.3,0.74,0.57,3.87,PHX
223,Jamal Murray,55.5,4.8,1.1,8.6,10.2,4.9,4.0,39.4,1.1,11.0,2.9,2.7,7.8,2.8,76.9,34.6,5.6,4.37,3.93,1.0,0.3,1.9,13481.2,1.46,1.09,4.4,DEN
224,James Ennis III,12.3,0.7,0.2,1.2,1.3,0.6,0.5,37.3,0.1,9.3,2.4,2.4,0.4,0.3,19.1,12.6,0.5,1.67,0.81,0.5,0.0,1.7,8662.4,0.86,0.78,4.34,PHI
225,James Harden,49.5,7.5,0.9,13.8,19.6,9.3,6.1,31.1,2.2,11.3,0.9,0.9,13.7,12.1,87.2,27.7,9.3,6.37,5.92,0.4,1.1,0.9,12495.2,1.31,1.06,3.63,HOU
226,James Johnson,28.8,2.5,0.2,5.1,4.6,2.2,1.5,33.5,0.3,6.4,2.1,2.0,1.3,0.6,38.3,18.8,1.8,2.9,2.23,1.0,0.5,1.3,8106.6,0.84,0.69,4.06,MIA
227,James Nunnally,4.5,0.5,0.0,0.7,0.4,0.3,0.1,33.3,0.0,0.0,1.4,1.4,0.4,0.3,6.9,5.3,0.2,1.77,1.04,0.0,0.0,0.1,2824.1,0.28,0.26,4.36,HOU
228,Jared Dudley,30.6,1.4,0.2,2.3,2.5,0.7,1.4,55.0,0.4,14.8,2.7,2.5,0.3,0.1,36.5,19.1,0.9,1.47,0.54,0.4,0.2,0.8,8006.2,0.86,0.65,4.09,BKN
229,Jared Terrell,11.6,0.9,0.1,1.9,1.4,0.7,0.4,26.3,0.1,5.3,0.8,0.8,1.2,0.4,15.7,5.9,1.3,4.89,4.48,0.1,0.0,0.0,3104.6,0.33,0.26,4.1,MIN
230,Jarell Martin,11.3,0.4,0.0,0.8,0.3,0.1,0.1,27.3,0.0,0.0,1.5,1.3,0.3,0.1,14.3,6.0,0.4,1.77,0.59,0.3,0.2,0.6,3352.3,0.36,0.28,4.47,ORL
231,Jaren Jackson Jr.,26.4,1.1,0.1,2.2,2.1,1.4,0.3,14.5,0.1,2.4,2.6,2.2,0.6,0.2,40.3,25.3,1.3,1.89,0.62,3.2,4.6,6.7,10297.1,1.05,0.9,4.22,MEM
232,Jaron Blossomgame,19.9,0.5,0.2,1.0,0.5,0.3,0.2,35.7,0.0,7.1,1.5,1.4,0.3,0.0,24.7,10.2,0.6,1.44,0.37,0.7,0.1,2.0,6621.2,0.7,0.56,4.38,CLE
233,Jarred Vanderbilt,4.2,0.2,0.0,0.5,0.2,0.1,0.1,33.3,0.1,33.3,0.1,0.1,0.1,0.0,6.1,3.1,0.2,1.7,0.82,0.5,0.1,1.2,1725.2,0.18,0.15,4.5,DEN
234,Jarrett Allen,32.1,1.4,0.1,2.4,0.3,0.2,0.0,14.3,0.0,0.0,0.6,0.6,0.0,0.0,42.6,26.8,0.9,1.25,0.28,4.1,0.3,8.1,10389.4,1.1,0.87,4.23,BKN
235,Jason Smith,14.9,0.7,0.0,1.3,0.4,0.2,0.1,14.3,0.0,0.0,1.9,1.3,0.0,0.0,18.6,9.1,0.4,1.24,0.25,0.9,0.2,1.5,3984.9,0.41,0.34,4.44,NOP
236,Jawun Evans,14.1,1.3,0.1,2.4,2.6,0.9,1.3,47.6,0.0,0.0,0.1,0.1,1.0,0.3,17.1,6.4,1.3,4.53,4.12,0.3,0.0,0.3,3426.5,0.35,0.3,4.5,OKC
237,Jaylen Adams,22.6,1.9,0.4,4.1,2.7,0.6,1.6,59.3,0.4,15.4,1.4,1.4,1.2,0.8,27.7,8.2,2.2,4.7,4.73,0.2,0.0,0.2,5258.4,0.54,0.46,4.41,ATL
238,Jaylen Brown,17.5,1.4,0.3,2.7,5.1,2.4,1.8,35.5,0.3,6.1,3.4,3.3,2.3,0.4,31.8,21.0,1.2,2.34,1.69,0.6,1.2,2.2,10450.6,1.0,0.98,4.29,BOS
239,Jaylen Morris,5.0,1.0,0.3,1.8,0.8,0.5,0.3,33.3,0.0,0.0,0.8,0.8,0.0,0.0,8.0,4.8,0.3,2.15,1.69,0.5,0.0,0.3,3047.3,0.33,0.25,4.51,MIL
240,Jayson Tatum,28.2,2.1,0.3,4.2,5.6,2.8,1.9,33.6,0.5,9.8,2.7,2.5,5.4,1.4,45.3,28.5,2.0,2.7,1.83,1.1,1.5,2.2,12037.8,1.21,1.07,4.13,BOS
241,Jeff Green,27.2,1.8,0.1,3.1,2.1,1.1,0.5,21.7,0.2,7.5,3.9,3.6,1.6,0.4,39.2,23.3,1.2,1.81,0.71,1.1,1.2,2.1,9804.4,0.96,0.89,3.81,WAS
242,Jeff Teague,53.0,8.2,0.5,13.5,14.1,5.5,6.1,43.3,2.0,13.9,1.0,1.0,3.7,1.5,69.8,22.2,6.3,5.43,5.34,0.4,0.1,0.3,10413.5,1.07,0.9,3.67,MIN
243,Jemerrio Jones,28.7,2.2,0.3,3.3,1.0,0.3,0.5,50.0,0.3,33.3,1.3,1.3,0.8,0.3,35.2,14.8,1.2,2.01,1.39,0.5,0.0,3.5,10527.0,1.08,0.92,4.72,LAL
244,Jerami Grant,37.3,1.0,0.3,1.9,2.8,1.6,0.6,22.3,0.1,5.0,4.0,3.6,0.4,0.0,50.5,21.1,1.1,1.32,0.45,2.1,1.4,3.8,13190.6,1.32,1.18,4.31,OKC
245,Jeremy Lamb,26.2,2.2,0.4,4.4,8.5,4.7,2.3,27.4,0.6,7.2,3.0,2.8,4.0,1.3,42.2,26.7,2.1,3.06,2.34,0.5,0.1,1.4,11591.2,1.21,0.99,4.35,CHA
246,Jeremy Lin,30.9,3.1,0.5,5.7,8.6,2.9,4.0,46.6,1.0,11.5,1.6,1.5,2.5,1.0,43.5,17.0,3.3,4.55,4.3,0.3,0.1,0.4,8183.5,0.84,0.71,4.44,TOR
247,Jerian Grant,24.8,2.6,0.2,5.1,3.5,0.9,2.1,58.9,0.5,13.9,1.3,1.3,1.6,0.5,31.4,9.6,2.9,5.63,5.73,0.2,0.0,0.2,6111.1,0.62,0.54,4.12,ORL
248,Jerome Robinson,7.7,0.6,0.1,1.0,1.3,0.7,0.5,40.5,0.2,16.7,1.6,1.4,0.8,0.3,12.1,7.5,0.5,2.4,1.83,0.1,0.0,0.2,4174.4,0.42,0.37,4.5,LAC
249,Jerryd Bayless,34.2,3.5,0.4,6.4,4.8,1.6,2.4,50.6,0.6,12.2,1.9,1.8,3.1,1.1,44.1,15.8,3.9,5.33,4.74,0.3,0.0,0.2,7210.1,0.76,0.61,3.93,MIN
250,Jevon Carter,22.5,1.8,0.3,3.3,2.7,0.7,1.4,52.8,0.3,11.3,1.6,1.5,2.1,1.0,29.5,13.6,2.0,4.15,3.7,0.2,0.0,0.2,6185.9,0.62,0.55,4.43,MEM
251,Jimmer Fredette,10.0,1.3,0.0,1.7,2.8,1.3,1.0,35.3,0.3,11.8,1.3,1.3,2.0,0.8,16.7,9.5,1.1,4.07,3.25,0.2,0.2,0.3,4523.8,0.47,0.39,4.37,PHX
252,Jimmy Butler,33.8,4.0,0.5,7.8,10.3,4.1,4.5,43.6,1.1,11.0,2.1,1.6,5.0,1.1,53.5,38.1,3.2,3.6,2.51,1.5,1.7,3.8,13557.3,1.38,1.19,4.32,PHI
253,Joakim Noah,31.5,2.1,0.1,3.8,1.6,0.9,0.4,25.8,0.1,6.1,0.3,0.0,0.1,0.0,39.7,22.5,1.3,1.91,0.74,3.7,1.6,5.4,6643.1,0.68,0.58,4.25,MEM
254,Jodie Meeks,8.8,1.0,0.1,1.5,1.8,1.1,0.3,14.3,0.0,0.0,2.4,2.1,1.0,0.1,14.5,11.5,0.4,1.5,1.04,0.8,0.0,0.5,5357.5,0.53,0.49,4.38,TOR
255,Joe Chealey,9.0,1.0,0.0,1.0,4.0,2.0,2.0,50.0,0.0,0.0,0.0,-,1.0,-,13.0,3.0,1.2,5.7,5.62,0.0,0.0,0.0,3141.0,0.35,0.24,4.34,CHA
256,Joe Harris,32.6,2.4,0.3,4.8,7.0,3.1,2.9,41.9,0.7,9.8,4.3,4.2,1.3,0.8,45.9,35.9,1.4,1.83,0.96,0.8,0.0,1.3,12922.1,1.4,1.04,4.55,BKN
257,Joe Ingles,40.9,5.7,0.7,10.4,10.0,3.0,5.4,54.1,1.5,15.0,3.9,3.8,2.5,1.9,55.6,37.1,3.0,3.27,2.43,1.3,0.1,0.5,12478.3,1.3,1.06,4.25,UTA
258,Joel Embiid,58.0,3.6,0.4,6.8,4.8,2.5,0.8,17.4,0.1,2.3,3.8,3.3,4.0,0.7,87.0,55.0,3.0,2.05,0.88,5.7,10.2,7.4,12354.9,1.27,1.07,3.89,PHI
259,John Collins,47.6,2.0,0.2,2.9,2.8,1.6,0.6,20.8,0.2,7.7,2.9,2.5,0.6,0.1,66.0,37.0,1.7,1.52,0.48,2.9,2.5,10.3,12141.2,1.25,1.05,4.3,ATL
260,John Henson,15.0,1.0,0.2,2.5,0.4,0.1,0.1,33.3,0.0,0.0,2.1,2.1,0.1,0.1,21.4,14.3,0.5,1.3,0.38,0.6,0.4,2.9,5432.1,0.55,0.47,4.27,CLE
261,John Holland,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,2.0,1.0,0.1,1.72,0.5,0.0,0.0,0.0,130.0,0.02,0.01,0.0,CLE
262,John Jenkins,9.6,0.8,0.2,1.2,1.0,0.3,0.4,40.0,0.1,12.0,1.9,1.8,1.9,0.5,14.7,11.9,0.6,2.26,1.63,0.3,0.0,0.1,5090.8,0.53,0.43,4.23,NYK
263,John Wall,56.1,8.7,0.9,15.7,16.8,6.5,6.3,37.7,1.7,10.0,3.3,3.2,6.2,2.0,82.9,25.7,7.8,5.68,5.12,0.1,0.4,0.4,11824.2,1.17,1.07,3.64,WAS
264,Johnathan Motley,10.3,0.5,0.0,0.8,0.9,0.5,0.2,25.0,0.0,0.0,0.3,0.1,0.1,0.0,15.4,8.3,0.5,1.94,0.87,0.8,1.0,2.5,2918.0,0.29,0.26,4.34,LAC
265,Johnathan Williams,12.0,0.5,0.0,1.3,0.5,0.4,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,18.3,11.5,0.5,1.6,0.6,1.8,0.4,5.1,6265.4,0.62,0.57,4.28,LAL
266,Jon Leuer,10.8,0.3,0.0,0.7,0.3,0.1,0.1,41.7,0.0,0.0,0.9,0.3,0.2,0.0,14.4,7.7,0.4,1.67,0.47,0.9,0.7,2.1,4149.9,0.44,0.34,4.46,DET
267,Jonah Bolden,21.3,0.9,0.1,1.5,0.7,0.2,0.3,50.0,0.1,14.3,2.1,2.0,0.2,0.1,26.3,13.0,0.6,1.31,0.35,0.9,0.1,1.8,6082.2,0.63,0.52,4.45,PHI
268,Jonas Jerebko,23.3,1.3,0.1,2.8,1.0,0.4,0.4,37.1,0.1,8.6,2.8,2.4,0.4,0.2,29.6,17.7,0.7,1.47,0.4,1.4,0.5,1.8,6835.7,0.7,0.6,4.42,GSW
269,Jonas Valanciunas,35.7,1.4,0.3,2.5,1.9,1.0,0.3,16.3,0.0,1.1,1.6,0.9,0.7,0.0,51.0,29.4,1.7,2.0,0.59,4.0,4.8,7.0,8425.5,0.86,0.74,4.02,MEM
270,Jonathan Isaac,35.2,1.1,0.2,2.2,1.8,0.9,0.5,26.4,0.1,3.1,3.6,3.3,1.2,0.2,45.9,22.3,1.1,1.48,0.48,1.3,0.4,2.6,10914.0,1.15,0.92,4.43,ORL
271,Jonathon Simmons,16.4,2.3,0.3,4.6,5.3,2.4,1.8,34.9,0.5,8.8,1.2,1.2,1.9,0.6,25.9,17.8,1.5,3.43,2.65,0.3,0.3,0.9,7793.3,0.79,0.69,4.36,PHI
272,Jordan Bell,18.1,1.1,0.2,2.3,0.7,0.4,0.2,32.7,0.1,8.2,0.4,0.0,0.7,0.0,22.4,13.0,0.6,1.67,0.47,2.0,0.9,2.0,4511.5,0.45,0.4,4.19,GSW
273,Jordan Clarkson,26.6,2.4,0.3,4.6,9.3,5.0,2.9,30.6,0.7,7.5,3.3,2.9,5.4,2.5,45.5,29.7,2.7,3.59,2.79,0.8,0.4,1.4,10901.6,1.15,0.91,4.28,CLE
274,Jordan Loyd,6.8,0.5,0.0,1.2,1.0,0.7,0.2,16.7,0.1,8.3,0.3,0.3,0.6,0.3,9.4,4.4,0.7,4.5,3.5,0.0,0.0,0.2,1982.9,0.22,0.15,4.44,TOR
275,Jordan McRae,11.4,1.1,0.3,2.3,2.5,1.2,0.7,29.9,0.1,6.0,0.7,0.7,2.3,0.6,18.1,10.7,1.1,3.56,2.97,0.1,0.0,0.1,4624.2,0.46,0.42,3.94,WAS
276,Jordan Sibert,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.06,0.5,0.0,0.0,0.0,1671.0,0.2,0.12,4.02,ATL
277,Jose Calderon,26.3,2.3,0.2,4.6,2.7,0.4,1.9,69.5,0.2,8.4,0.8,0.8,1.3,0.4,31.2,12.7,2.5,4.73,4.72,0.1,0.0,0.2,5440.5,0.6,0.43,4.42,DET
278,Josh Hart,21.5,1.4,0.3,2.5,1.8,0.7,0.7,39.2,0.1,8.3,3.4,3.3,1.3,0.7,30.6,17.2,1.0,2.02,1.23,0.7,0.0,0.8,10489.5,1.04,0.95,4.33,LAL
279,Josh Jackson,25.2,2.3,0.2,4.0,7.0,4.0,1.5,21.2,0.4,6.0,2.2,2.1,3.1,0.7,40.3,25.3,1.7,2.51,1.74,0.5,0.2,1.4,10017.9,1.01,0.88,4.21,PHX
280,Josh Okogie,14.2,1.2,0.3,2.2,3.0,1.3,1.2,38.2,0.3,10.2,2.6,2.5,1.3,0.4,23.5,17.6,0.8,2.08,1.32,0.4,0.0,1.2,9842.3,0.96,0.9,4.4,MIN
281,Josh Richardson,47.6,4.1,0.6,7.4,10.1,4.0,4.6,45.1,1.2,11.8,5.2,4.6,4.7,1.6,67.5,36.3,4.2,3.77,3.11,0.7,0.2,1.3,14120.4,1.5,1.17,4.3,MIA
282,Jrue Holiday,60.4,7.7,0.6,13.9,16.6,7.7,6.3,38.1,1.7,10.6,2.1,1.9,6.6,3.4,86.3,41.7,5.4,3.76,3.33,1.1,0.5,2.0,14546.4,1.51,1.25,4.32,NOP
283,Juancho Hernangomez,16.9,0.8,0.2,1.3,0.8,0.4,0.2,22.8,0.0,0.0,2.6,2.5,0.1,0.1,22.8,14.3,0.7,1.72,0.59,0.2,0.3,1.6,7999.7,0.79,0.72,4.37,DEN
284,Julian Washburn,12.7,0.8,0.1,1.8,1.3,0.4,0.8,60.9,0.1,4.3,1.4,1.2,1.0,0.2,16.1,9.3,0.6,2.2,1.3,0.2,0.0,0.6,5616.1,0.55,0.51,4.22,MEM
285,Julius Randle,37.2,3.1,0.4,5.8,7.2,3.7,2.0,27.4,0.5,6.3,2.2,2.0,1.8,0.6,59.5,36.1,2.9,2.88,1.8,3.7,5.2,5.5,11509.7,1.16,1.02,4.01,NOP
286,Justin Anderson,7.3,0.5,0.1,1.0,1.3,0.7,0.4,31.7,0.1,4.8,1.4,1.3,0.5,0.3,11.7,7.3,0.4,1.89,1.1,0.3,0.0,0.8,3918.8,0.39,0.35,4.25,ATL
287,Justin Holiday,24.3,1.8,0.4,3.3,2.7,1.0,1.2,46.1,0.3,12.0,4.7,4.4,2.6,1.2,36.6,26.7,1.2,2.02,1.22,0.7,0.0,1.2,12989.8,1.33,1.13,4.37,MEM
288,Justin Jackson,17.8,1.2,0.1,1.9,1.7,1.0,0.4,21.5,0.1,8.9,2.7,2.7,1.4,0.3,25.1,16.5,0.7,1.7,0.74,0.5,0.2,1.0,8198.7,0.85,0.71,4.38,DAL
289,Justin Patton,11.3,1.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,0.0,14.7,7.3,0.3,1.07,0.23,1.3,0.0,2.0,2884.0,0.32,0.23,4.45,PHI
290,Justise Winslow,52.2,4.3,0.5,7.5,8.8,4.3,3.1,35.8,1.0,11.1,3.5,3.3,2.3,0.5,69.2,26.8,4.4,3.8,3.18,0.5,0.3,1.7,11713.7,1.22,1.0,4.19,MIA
291,Jusuf Nurkic,42.8,3.2,0.1,5.0,0.7,0.5,0.1,8.0,0.0,2.0,1.5,0.4,0.4,0.0,59.5,34.2,1.7,1.71,0.51,4.8,4.4,7.5,10504.6,1.09,0.9,4.08,POR
292,Kadeem Allen,36.4,4.0,0.2,6.5,10.3,3.8,4.6,45.1,1.5,14.9,1.3,1.2,3.0,0.7,48.5,17.9,3.8,4.65,4.47,0.3,0.0,0.4,8982.1,0.96,0.75,4.35,NYK
293,Kalin Lucas,10.0,1.0,0.0,2.0,2.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,3.0,1.2,5.6,5.85,0.0,0.0,0.0,2590.0,0.27,0.22,5.04,DET
294,Karl-Anthony Towns,49.1,3.4,0.4,6.2,3.6,2.0,0.7,20.4,0.2,5.7,5.0,4.0,1.3,0.4,73.3,44.8,2.4,1.99,0.66,3.6,12.9,6.5,12486.2,1.25,1.12,4.01,MIN
295,Kawhi Leonard,30.1,3.3,0.7,6.7,13.6,6.1,5.1,37.3,0.9,6.7,2.9,2.5,8.7,2.4,57.2,38.1,4.0,4.24,3.64,1.1,4.0,2.6,13517.6,1.38,1.18,4.23,TOR
296,Keita Bates-Diop,10.5,0.6,0.0,0.9,1.0,0.7,0.2,19.4,0.0,0.0,1.7,1.7,0.8,0.1,16.5,11.3,0.5,1.98,0.99,0.3,0.1,1.4,6754.2,0.67,0.61,4.22,MIN
297,Kelly Olynyk,35.9,1.8,0.2,3.8,2.0,0.8,0.7,35.0,0.2,9.4,3.6,3.3,0.9,0.7,46.4,26.2,1.3,1.67,0.59,1.2,1.2,2.1,9197.3,0.98,0.76,4.26,MIA
298,Kelly Oubre Jr.,22.3,1.2,0.3,2.4,6.0,3.6,0.9,15.5,0.2,3.6,4.0,3.9,2.0,1.0,38.9,25.2,1.5,2.24,1.46,0.6,0.1,1.9,11239.7,1.11,1.02,4.23,PHX
299,Kemba Walker,55.6,5.9,1.0,10.5,15.2,6.9,5.6,37.1,1.6,10.6,3.1,2.8,10.3,6.0,84.5,31.4,7.5,5.35,5.04,0.4,0.0,0.6,13478.5,1.46,1.09,4.13,CHA
300,Kenneth Faried,22.8,0.5,0.2,1.5,0.6,0.4,0.1,8.7,0.0,0.0,0.7,0.6,0.1,0.1,32.7,16.5,0.9,1.62,0.54,2.7,0.4,5.9,7755.6,0.79,0.68,4.19,HOU
301,Kenrich Williams,25.1,1.8,0.3,2.9,2.0,0.7,1.1,55.9,0.3,17.2,2.9,2.8,1.0,0.6,32.9,18.7,1.0,1.81,1.2,0.5,0.1,2.1,9896.0,1.01,0.87,4.5,NOP
302,Kent Bazemore,22.1,2.3,0.2,4.4,6.8,3.0,2.1,31.7,0.4,5.3,3.0,2.9,3.3,1.6,36.8,24.5,1.5,2.49,1.98,0.4,0.0,0.7,10135.5,1.01,0.91,4.36,ATL
303,Kentavious Caldwell-Pope,23.5,1.3,0.2,2.6,1.9,1.0,0.7,36.6,0.2,11.8,4.6,4.1,2.5,1.1,35.0,19.1,1.2,2.0,1.27,0.9,0.0,1.0,10024.5,1.01,0.89,4.28,LAL
304,Kevin Durant,43.6,5.9,0.8,10.7,7.5,3.7,2.1,28.4,0.7,9.4,3.3,2.2,8.8,2.7,69.5,39.9,4.2,3.6,2.61,2.0,6.3,1.6,12582.1,1.28,1.11,3.93,GSW
305,Kevin Huerter,19.1,2.9,0.3,5.3,4.7,2.3,1.9,39.4,0.6,12.1,3.1,3.1,2.5,1.6,30.5,23.3,1.3,2.59,2.08,0.4,0.0,1.1,11336.5,1.14,1.01,4.41,ATL
306,Kevin Knox II,25.6,1.1,0.2,2.2,5.4,3.5,0.7,12.6,0.1,2.8,4.3,4.1,3.3,0.6,41.7,27.1,1.5,2.23,1.18,0.4,0.3,1.1,11337.4,1.14,1.01,4.21,NYK
307,Kevin Love,37.1,2.2,0.2,4.5,1.9,0.7,0.9,45.2,0.2,11.9,5.9,5.2,2.2,1.4,55.4,33.3,1.7,1.9,0.66,1.4,5.6,3.6,10200.0,1.03,0.9,4.01,CLE
308,Kevon Looney,22.2,1.5,0.1,2.8,0.6,0.3,0.2,34.1,0.0,6.8,0.5,0.1,0.2,0.0,28.1,18.0,0.7,1.4,0.45,1.5,1.0,4.9,7434.4,0.73,0.68,4.3,GSW
309,Khem Birch,14.0,0.8,0.0,1.2,0.4,0.2,0.1,25.0,0.0,10.0,0.1,0.0,0.0,0.0,18.4,10.1,0.4,1.42,0.53,1.6,0.4,3.8,5093.0,0.51,0.45,4.19,ORL
310,Khris Middleton,35.4,4.3,0.4,7.0,7.8,3.5,3.0,38.8,0.9,11.5,3.4,3.0,6.5,3.1,55.7,27.0,3.3,3.6,2.91,0.7,2.0,1.1,12402.3,1.25,1.1,4.26,MIL
311,Khyri Thomas,6.0,0.3,0.1,1.1,1.2,0.5,0.4,36.7,0.0,3.3,1.2,1.2,0.8,0.1,9.4,6.6,0.4,2.67,2.25,0.0,0.0,0.2,3236.0,0.35,0.26,4.51,DET
312,Klay Thompson,24.6,2.4,0.4,3.8,4.4,1.8,2.0,46.0,0.6,12.7,8.3,6.1,5.8,1.4,46.3,35.5,1.6,2.04,1.31,1.5,1.3,1.9,13394.7,1.36,1.18,4.28,GSW
313,Kobi Simmons,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,2.0,1.0,0.2,6.2,4.0,0.0,0.0,0.0,671.0,0.07,0.05,3.08,CLE
314,Kosta Koufos,15.7,0.9,0.1,1.6,0.4,0.2,0.1,20.0,0.0,0.0,0.4,-,0.4,-,20.5,11.3,0.6,1.65,0.38,2.2,1.2,3.7,4861.4,0.49,0.43,4.32,SAC
315,Kostas Antetokounmpo,5.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-,0.0,-,8.0,6.0,0.3,2.61,1.63,0.5,2.5,1.0,2019.0,0.2,0.19,4.22,DAL
